"","Overall","List_Number"
"Meal_bin_8h...65",0,1
"Meal_bin_24h...66",0,1
"weekday_num...67",0,1
"PPG_spike_prev...68",0,1
"Staples_g_8h_missing...69",0,1
"Staples_g_24h_missing...70",0,1
"Vegetables_g_8h_missing...71",0,1
"Vegetables_g_24h_missing...72",0,1
"Fruits_g_8h_missing...73",0,1
"Fruits_g_24h_missing...74",0,1
"Animal_Foods_g_8h_missing...75",0,1
"Animal_Foods_g_24h_missing...76",0,1
"Dairy_Products_g_8h_missing...77",0,1
"Dairy_Products_g_24h_missing...78",0,1
"Legumes_Nuts_g_8h_missing...79",0,1
"Legumes_Nuts_g_24h_missing...80",0,1
"Sweets_g_8h_missing...81",0,1
"Sweets_g_24h_missing...82",0,1
"Total_g_8h_missing...83",0,1
"Total_g_24h_missing...84",0,1
"Staples_bin_24h_missing...85",0,1
"Vegetables_bin_24h_missing...86",0,1
"Fruits_bin_24h_missing...87",0,1
"Animal_Foods_bin_24h_missing...88",0,1
"Dairy_Products_bin_24h_missing...89",0,1
"Legumes_Nuts_bin_24h_missing...90",0,1
"Sweets_bin_24h_missing...91",0,1
"Meal_bin_24h_missing...92",0,1
"PPG_spike_prev_missing...93",0,1
"Non.insulin.hypoglycemic.agents...94",100,2
"Staples_bin_8h...95",25.0111184663666,2
"Legumes_Nuts_bin_24h...96",4.81588105788919,2
"Vegetables_bin_24h...97",4.8154280788053,2
"basal_insulin...98",0,2
"bolus_insulin...99",0,2
"Intermediate_insulin...100",0,2
"Staples_g...101",0,2
"Staples_bin...102",0,2
"Vegetables_g...103",0,2
"Vegetables_bin...104",0,2
"Fruits_g...105",0,2
"Fruits_bin...106",0,2
"Animal_Foods_g...107",0,2
"Animal_Foods_bin...108",0,2
"Dairy_Products_g...109",0,2
"Dairy_Products_bin...110",0,2
"Legumes_Nuts_g...111",0,2
"Legumes_Nuts_bin...112",0,2
"Sweets_g...113",0,2
"Sweets_bin...114",0,2
"total_g...115",0,2
"Day...116",0,2
"basal_insulin_dose...117",0,2
"bolus_insulin_dose...118",0,2
"intermediate_insulin_dose...119",0,2
"Insulin_Basal_Time...120",0,2
"Intermediate_insulin_Time...121",0,2
"Bolus_insulin_Time...122",0,2
"Non_Insulin_Time...123",0,2
"bolus_insulin_dose_time...124",0,2
"basal_insulin_dose_time...125",0,2
"intermediate_insulin_dose_time...126",0,2
"day...127",0,2
"month...128",0,2
"Staples_g_8h...129",0,2
"Staples_g_24h...130",0,2
"Vegetables_g_8h...131",0,2
"Vegetables_g_24h...132",0,2
"Fruits_g_8h...133",0,2
"Fruits_g_24h...134",0,2
"Animal_Foods_g_8h...135",0,2
"Animal_Foods_g_24h...136",0,2
"Dairy_Products_g_8h...137",0,2
"Dairy_Products_g_24h...138",0,2
"Legumes_Nuts_g_8h...139",0,2
"Legumes_Nuts_g_24h...140",0,2
"Sweets_g_8h...141",0,2
"Sweets_g_24h...142",0,2
"Total_g_8h...143",0,2
"Total_g_24h...144",0,2
"Staples_bin_24h...145",0,2
"Vegetables_bin_8h...146",0,2
"Fruits_bin_8h...147",0,2
"Fruits_bin_24h...148",0,2
"Animal_Foods_bin_8h...149",0,2
"Animal_Foods_bin_24h...150",0,2
"Dairy_Products_bin_8h...151",0,2
"Dairy_Products_bin_24h...152",0,2
"Legumes_Nuts_bin_8h...153",0,2
"Sweets_bin_8h...154",0,2
"Sweets_bin_24h...155",0,2
"Meal_bin_8h...156",0,2
"Meal_bin_24h...157",0,2
"Hour...158",0,2
"Meal_time...159",0,2
"weekday_num...160",0,2
"PPG_spike_prev...161",0,2
"Staples_g_8h_missing...162",0,2
"Staples_g_24h_missing...163",0,2
"Vegetables_g_8h_missing...164",0,2
"Vegetables_g_24h_missing...165",0,2
"Fruits_g_8h_missing...166",0,2
"Fruits_g_24h_missing...167",0,2
"Animal_Foods_g_8h_missing...168",0,2
"Animal_Foods_g_24h_missing...169",0,2
"Dairy_Products_g_8h_missing...170",0,2
"Dairy_Products_g_24h_missing...171",0,2
"Legumes_Nuts_g_8h_missing...172",0,2
"Legumes_Nuts_g_24h_missing...173",0,2
"Sweets_g_8h_missing...174",0,2
"Sweets_g_24h_missing...175",0,2
"Total_g_8h_missing...176",0,2
"Total_g_24h_missing...177",0,2
"Staples_bin_8h_missing...178",0,2
"Staples_bin_24h_missing...179",0,2
"Vegetables_bin_8h_missing...180",0,2
"Vegetables_bin_24h_missing...181",0,2
"Fruits_bin_8h_missing...182",0,2
"Fruits_bin_24h_missing...183",0,2
"Animal_Foods_bin_8h_missing...184",0,2
"Animal_Foods_bin_24h_missing...185",0,2
"Dairy_Products_bin_8h_missing...186",0,2
"Dairy_Products_bin_24h_missing...187",0,2
"Legumes_Nuts_bin_8h_missing...188",0,2
"Legumes_Nuts_bin_24h_missing...189",0,2
"Sweets_bin_8h_missing...190",0,2
"Sweets_bin_24h_missing...191",0,2
"Meal_bin_8h_missing...192",0,2
"Meal_bin_24h_missing...193",0,2
"PPG_spike_prev_missing...194",0,2
"Meal_time...195",100,3
"Hour...196",23.93355166155,3
"Dairy_Products_g...197",12.9458535542771,3
"Meal_bin_8h...198",2.16239113245116,3
"Dairy_Products_bin...199",2.15114990035949,3
"Animal_Foods_bin_8h...200",1.85435889154664,3
"intermediate_insulin_dose_time...201",1.84817013602374,3
"Non.insulin.hypoglycemic.agents...202",0,3
"basal_insulin...203",0,3
"bolus_insulin...204",0,3
"Intermediate_insulin...205",0,3
"Staples_g...206",0,3
"Staples_bin...207",0,3
"Vegetables_g...208",0,3
"Vegetables_bin...209",0,3
"Fruits_g...210",0,3
"Fruits_bin...211",0,3
"Animal_Foods_g...212",0,3
"Animal_Foods_bin...213",0,3
"Legumes_Nuts_g...214",0,3
"Legumes_Nuts_bin...215",0,3
"Sweets_g...216",0,3
"Sweets_bin...217",0,3
"total_g...218",0,3
"Day...219",0,3
"basal_insulin_dose...220",0,3
"bolus_insulin_dose...221",0,3
"intermediate_insulin_dose...222",0,3
"Insulin_Basal_Time...223",0,3
"Intermediate_insulin_Time...224",0,3
"Bolus_insulin_Time...225",0,3
"Non_Insulin_Time...226",0,3
"bolus_insulin_dose_time...227",0,3
"basal_insulin_dose_time...228",0,3
"day...229",0,3
"month...230",0,3
"Staples_g_8h...231",0,3
"Staples_g_24h...232",0,3
"Vegetables_g_8h...233",0,3
"Vegetables_g_24h...234",0,3
"Fruits_g_8h...235",0,3
"Fruits_g_24h...236",0,3
"Animal_Foods_g_8h...237",0,3
"Animal_Foods_g_24h...238",0,3
"Dairy_Products_g_8h...239",0,3
"Dairy_Products_g_24h...240",0,3
"Legumes_Nuts_g_8h...241",0,3
"Legumes_Nuts_g_24h...242",0,3
"Sweets_g_8h...243",0,3
"Sweets_g_24h...244",0,3
"Total_g_8h...245",0,3
"Total_g_24h...246",0,3
"Staples_bin_8h...247",0,3
"Staples_bin_24h...248",0,3
"Vegetables_bin_8h...249",0,3
"Vegetables_bin_24h...250",0,3
"Fruits_bin_8h...251",0,3
"Fruits_bin_24h...252",0,3
"Animal_Foods_bin_24h...253",0,3
"Dairy_Products_bin_8h...254",0,3
"Dairy_Products_bin_24h...255",0,3
"Legumes_Nuts_bin_8h...256",0,3
"Legumes_Nuts_bin_24h...257",0,3
"Sweets_bin_8h...258",0,3
"Sweets_bin_24h...259",0,3
"Meal_bin_24h...260",0,3
"weekday_num...261",0,3
"PPG_spike_prev...262",0,3
"Staples_g_8h_missing...263",0,3
"Staples_g_24h_missing...264",0,3
"Vegetables_g_8h_missing...265",0,3
"Vegetables_g_24h_missing...266",0,3
"Fruits_g_8h_missing...267",0,3
"Fruits_g_24h_missing...268",0,3
"Animal_Foods_g_8h_missing...269",0,3
"Animal_Foods_g_24h_missing...270",0,3
"Dairy_Products_g_8h_missing...271",0,3
"Dairy_Products_g_24h_missing...272",0,3
"Legumes_Nuts_g_8h_missing...273",0,3
"Legumes_Nuts_g_24h_missing...274",0,3
"Sweets_g_8h_missing...275",0,3
"Sweets_g_24h_missing...276",0,3
"Total_g_8h_missing...277",0,3
"Total_g_24h_missing...278",0,3
"Staples_bin_8h_missing...279",0,3
"Staples_bin_24h_missing...280",0,3
"Vegetables_bin_8h_missing...281",0,3
"Vegetables_bin_24h_missing...282",0,3
"Fruits_bin_8h_missing...283",0,3
"Fruits_bin_24h_missing...284",0,3
"Animal_Foods_bin_8h_missing...285",0,3
"Animal_Foods_bin_24h_missing...286",0,3
"Dairy_Products_bin_8h_missing...287",0,3
"Dairy_Products_bin_24h_missing...288",0,3
"Legumes_Nuts_bin_8h_missing...289",0,3
"Legumes_Nuts_bin_24h_missing...290",0,3
"Sweets_bin_8h_missing...291",0,3
"Sweets_bin_24h_missing...292",0,3
"Meal_bin_8h_missing...293",0,3
"Meal_bin_24h_missing...294",0,3
"PPG_spike_prev_missing...295",0,3
"total_g...296",100,4
"Staples_g...297",4.01356342670423,4
"Non.insulin.hypoglycemic.agents...298",0,4
"basal_insulin...299",0,4
"bolus_insulin...300",0,4
"Intermediate_insulin...301",0,4
"Staples_bin...302",0,4
"Vegetables_g...303",0,4
"Vegetables_bin...304",0,4
"Fruits_g...305",0,4
"Fruits_bin...306",0,4
"Animal_Foods_g...307",0,4
"Animal_Foods_bin...308",0,4
"Dairy_Products_g...309",0,4
"Dairy_Products_bin...310",0,4
"Legumes_Nuts_g...311",0,4
"Legumes_Nuts_bin...312",0,4
"Sweets_g...313",0,4
"Sweets_bin...314",0,4
"Day...315",0,4
"basal_insulin_dose...316",0,4
"bolus_insulin_dose...317",0,4
"intermediate_insulin_dose...318",0,4
"Insulin_Basal_Time...319",0,4
"Intermediate_insulin_Time...320",0,4
"Bolus_insulin_Time...321",0,4
"Non_Insulin_Time...322",0,4
"bolus_insulin_dose_time...323",0,4
"basal_insulin_dose_time...324",0,4
"intermediate_insulin_dose_time...325",0,4
"day...326",0,4
"month...327",0,4
"Staples_g_8h...328",0,4
"Staples_g_24h...329",0,4
"Vegetables_g_8h...330",0,4
"Vegetables_g_24h...331",0,4
"Fruits_g_8h...332",0,4
"Fruits_g_24h...333",0,4
"Animal_Foods_g_8h...334",0,4
"Animal_Foods_g_24h...335",0,4
"Dairy_Products_g_8h...336",0,4
"Dairy_Products_g_24h...337",0,4
"Legumes_Nuts_g_8h...338",0,4
"Legumes_Nuts_g_24h...339",0,4
"Sweets_g_8h...340",0,4
"Sweets_g_24h...341",0,4
"Total_g_8h...342",0,4
"Total_g_24h...343",0,4
"Staples_bin_8h...344",0,4
"Staples_bin_24h...345",0,4
"Vegetables_bin_8h...346",0,4
"Vegetables_bin_24h...347",0,4
"Fruits_bin_8h...348",0,4
"Fruits_bin_24h...349",0,4
"Animal_Foods_bin_8h...350",0,4
"Animal_Foods_bin_24h...351",0,4
"Dairy_Products_bin_8h...352",0,4
"Dairy_Products_bin_24h...353",0,4
"Legumes_Nuts_bin_8h...354",0,4
"Legumes_Nuts_bin_24h...355",0,4
"Sweets_bin_8h...356",0,4
"Sweets_bin_24h...357",0,4
"Meal_bin_8h...358",0,4
"Meal_bin_24h...359",0,4
"Hour...360",0,4
"Meal_time...361",0,4
"weekday_num...362",0,4
"PPG_spike_prev...363",0,4
"Staples_g_8h_missing...364",0,4
"Staples_g_24h_missing...365",0,4
"Vegetables_g_8h_missing...366",0,4
"Vegetables_g_24h_missing...367",0,4
"Fruits_g_8h_missing...368",0,4
"Fruits_g_24h_missing...369",0,4
"Animal_Foods_g_8h_missing...370",0,4
"Animal_Foods_g_24h_missing...371",0,4
"Dairy_Products_g_8h_missing...372",0,4
"Dairy_Products_g_24h_missing...373",0,4
"Legumes_Nuts_g_8h_missing...374",0,4
"Legumes_Nuts_g_24h_missing...375",0,4
"Sweets_g_8h_missing...376",0,4
"Sweets_g_24h_missing...377",0,4
"Total_g_8h_missing...378",0,4
"Total_g_24h_missing...379",0,4
"Staples_bin_24h_missing...380",0,4
"Vegetables_bin_24h_missing...381",0,4
"Fruits_bin_24h_missing...382",0,4
"Animal_Foods_bin_24h_missing...383",0,4
"Dairy_Products_bin_24h_missing...384",0,4
"Legumes_Nuts_bin_24h_missing...385",0,4
"Sweets_bin_24h_missing...386",0,4
"Meal_bin_24h_missing...387",0,4
"PPG_spike_prev_missing...388",0,4
"Vegetables_g...389",100,5
"Non.insulin.hypoglycemic.agents...390",16.8430882959224,5
"Non_Insulin_Time...391",9.36574122324318,5
"Animal_Foods_g...392",6.41297386470737,5
"Hour...393",2.20743108656588,5
"day...394",0.736789479089619,5
"Day...395",0.735948905971162,5
"Staples_g_8h_missing...396",0.0256391489623874,5
"basal_insulin...397",0,5
"bolus_insulin...398",0,5
"Intermediate_insulin...399",0,5
"Staples_g...400",0,5
"Staples_bin...401",0,5
"Vegetables_bin...402",0,5
"Fruits_g...403",0,5
"Fruits_bin...404",0,5
"Animal_Foods_bin...405",0,5
"Dairy_Products_g...406",0,5
"Dairy_Products_bin...407",0,5
"Legumes_Nuts_g...408",0,5
"Legumes_Nuts_bin...409",0,5
"Sweets_g...410",0,5
"Sweets_bin...411",0,5
"total_g...412",0,5
"basal_insulin_dose...413",0,5
"bolus_insulin_dose...414",0,5
"intermediate_insulin_dose...415",0,5
"Insulin_Basal_Time...416",0,5
"Intermediate_insulin_Time...417",0,5
"Bolus_insulin_Time...418",0,5
"bolus_insulin_dose_time...419",0,5
"basal_insulin_dose_time...420",0,5
"intermediate_insulin_dose_time...421",0,5
"month...422",0,5
"Staples_g_8h...423",0,5
"Staples_g_24h...424",0,5
"Vegetables_g_8h...425",0,5
"Vegetables_g_24h...426",0,5
"Fruits_g_8h...427",0,5
"Fruits_g_24h...428",0,5
"Animal_Foods_g_8h...429",0,5
"Animal_Foods_g_24h...430",0,5
"Dairy_Products_g_8h...431",0,5
"Dairy_Products_g_24h...432",0,5
"Legumes_Nuts_g_8h...433",0,5
"Legumes_Nuts_g_24h...434",0,5
"Sweets_g_8h...435",0,5
"Sweets_g_24h...436",0,5
"Total_g_8h...437",0,5
"Total_g_24h...438",0,5
"Staples_bin_8h...439",0,5
"Staples_bin_24h...440",0,5
"Vegetables_bin_8h...441",0,5
"Vegetables_bin_24h...442",0,5
"Fruits_bin_8h...443",0,5
"Fruits_bin_24h...444",0,5
"Animal_Foods_bin_8h...445",0,5
"Animal_Foods_bin_24h...446",0,5
"Dairy_Products_bin_8h...447",0,5
"Dairy_Products_bin_24h...448",0,5
"Legumes_Nuts_bin_8h...449",0,5
"Legumes_Nuts_bin_24h...450",0,5
"Sweets_bin_8h...451",0,5
"Sweets_bin_24h...452",0,5
"Meal_bin_8h...453",0,5
"Meal_bin_24h...454",0,5
"Meal_time...455",0,5
"weekday_num...456",0,5
"PPG_spike_prev...457",0,5
"Staples_g_24h_missing...458",0,5
"Vegetables_g_8h_missing...459",0,5
"Vegetables_g_24h_missing...460",0,5
"Fruits_g_8h_missing...461",0,5
"Fruits_g_24h_missing...462",0,5
"Animal_Foods_g_8h_missing...463",0,5
"Animal_Foods_g_24h_missing...464",0,5
"Dairy_Products_g_8h_missing...465",0,5
"Dairy_Products_g_24h_missing...466",0,5
"Legumes_Nuts_g_8h_missing...467",0,5
"Legumes_Nuts_g_24h_missing...468",0,5
"Sweets_g_8h_missing...469",0,5
"Sweets_g_24h_missing...470",0,5
"Total_g_8h_missing...471",0,5
"Total_g_24h_missing...472",0,5
"Staples_bin_24h_missing...473",0,5
"Vegetables_bin_24h_missing...474",0,5
"Fruits_bin_24h_missing...475",0,5
"Animal_Foods_bin_24h_missing...476",0,5
"Dairy_Products_bin_24h_missing...477",0,5
"Legumes_Nuts_bin_24h_missing...478",0,5
"Sweets_bin_24h_missing...479",0,5
"Meal_bin_24h_missing...480",0,5
"PPG_spike_prev_missing...481",0,5
"Hour...482",100,6
"Staples_g_8h_missing...483",71.55047524337,6
"Vegetables_g_8h_missing...484",25.2547977988636,6
"Fruits_g_8h_missing...485",12.6564383746533,6
"Dairy_Products_g_8h_missing...486",4.1955271954129,6
"Non.insulin.hypoglycemic.agents...487",0,6
"basal_insulin...488",0,6
"bolus_insulin...489",0,6
"Intermediate_insulin...490",0,6
"Staples_g...491",0,6
"Staples_bin...492",0,6
"Vegetables_g...493",0,6
"Vegetables_bin...494",0,6
"Fruits_g...495",0,6
"Fruits_bin...496",0,6
"Animal_Foods_g...497",0,6
"Animal_Foods_bin...498",0,6
"Dairy_Products_g...499",0,6
"Dairy_Products_bin...500",0,6
"Legumes_Nuts_g...501",0,6
"Legumes_Nuts_bin...502",0,6
"Sweets_g...503",0,6
"Sweets_bin...504",0,6
"total_g...505",0,6
"Day...506",0,6
"basal_insulin_dose...507",0,6
"bolus_insulin_dose...508",0,6
"intermediate_insulin_dose...509",0,6
"Insulin_Basal_Time...510",0,6
"Intermediate_insulin_Time...511",0,6
"Bolus_insulin_Time...512",0,6
"Non_Insulin_Time...513",0,6
"bolus_insulin_dose_time...514",0,6
"basal_insulin_dose_time...515",0,6
"intermediate_insulin_dose_time...516",0,6
"day...517",0,6
"month...518",0,6
"Staples_g_8h...519",0,6
"Staples_g_24h...520",0,6
"Vegetables_g_8h...521",0,6
"Vegetables_g_24h...522",0,6
"Fruits_g_8h...523",0,6
"Fruits_g_24h...524",0,6
"Animal_Foods_g_8h...525",0,6
"Animal_Foods_g_24h...526",0,6
"Dairy_Products_g_8h...527",0,6
"Dairy_Products_g_24h...528",0,6
"Legumes_Nuts_g_8h...529",0,6
"Legumes_Nuts_g_24h...530",0,6
"Sweets_g_8h...531",0,6
"Sweets_g_24h...532",0,6
"Total_g_8h...533",0,6
"Total_g_24h...534",0,6
"Staples_bin_8h...535",0,6
"Staples_bin_24h...536",0,6
"Vegetables_bin_8h...537",0,6
"Vegetables_bin_24h...538",0,6
"Fruits_bin_8h...539",0,6
"Fruits_bin_24h...540",0,6
"Animal_Foods_bin_8h...541",0,6
"Animal_Foods_bin_24h...542",0,6
"Dairy_Products_bin_8h...543",0,6
"Dairy_Products_bin_24h...544",0,6
"Legumes_Nuts_bin_8h...545",0,6
"Legumes_Nuts_bin_24h...546",0,6
"Sweets_bin_8h...547",0,6
"Sweets_bin_24h...548",0,6
"Meal_bin_8h...549",0,6
"Meal_bin_24h...550",0,6
"Meal_time...551",0,6
"weekday_num...552",0,6
"PPG_spike_prev...553",0,6
"Staples_g_24h_missing...554",0,6
"Vegetables_g_24h_missing...555",0,6
"Fruits_g_24h_missing...556",0,6
"Animal_Foods_g_8h_missing...557",0,6
"Animal_Foods_g_24h_missing...558",0,6
"Dairy_Products_g_24h_missing...559",0,6
"Legumes_Nuts_g_8h_missing...560",0,6
"Legumes_Nuts_g_24h_missing...561",0,6
"Sweets_g_8h_missing...562",0,6
"Sweets_g_24h_missing...563",0,6
"Total_g_8h_missing...564",0,6
"Total_g_24h_missing...565",0,6
"Staples_bin_8h_missing...566",0,6
"Staples_bin_24h_missing...567",0,6
"Vegetables_bin_8h_missing...568",0,6
"Vegetables_bin_24h_missing...569",0,6
"Fruits_bin_8h_missing...570",0,6
"Fruits_bin_24h_missing...571",0,6
"Animal_Foods_bin_8h_missing...572",0,6
"Animal_Foods_bin_24h_missing...573",0,6
"Dairy_Products_bin_8h_missing...574",0,6
"Dairy_Products_bin_24h_missing...575",0,6
"Legumes_Nuts_bin_8h_missing...576",0,6
"Legumes_Nuts_bin_24h_missing...577",0,6
"Sweets_bin_8h_missing...578",0,6
"Sweets_bin_24h_missing...579",0,6
"Meal_bin_8h_missing...580",0,6
"Meal_bin_24h_missing...581",0,6
"PPG_spike_prev_missing...582",0,6
"Meal_bin_8h...583",100,7
"Staples_bin...584",88.6608399082295,7
"Hour...585",20.8522339631063,7
"Meal_time...586",8.34499354135321,7
"Fruits_g_8h_missing...587",4.15899732268374,7
"Non.insulin.hypoglycemic.agents...588",0,7
"basal_insulin...589",0,7
"bolus_insulin...590",0,7
"Intermediate_insulin...591",0,7
"Staples_g...592",0,7
"Vegetables_g...593",0,7
"Vegetables_bin...594",0,7
"Fruits_g...595",0,7
"Fruits_bin...596",0,7
"Animal_Foods_g...597",0,7
"Animal_Foods_bin...598",0,7
"Dairy_Products_g...599",0,7
"Dairy_Products_bin...600",0,7
"Legumes_Nuts_g...601",0,7
"Legumes_Nuts_bin...602",0,7
"Sweets_g...603",0,7
"Sweets_bin...604",0,7
"total_g...605",0,7
"Day...606",0,7
"basal_insulin_dose...607",0,7
"bolus_insulin_dose...608",0,7
"intermediate_insulin_dose...609",0,7
"Insulin_Basal_Time...610",0,7
"Intermediate_insulin_Time...611",0,7
"Bolus_insulin_Time...612",0,7
"Non_Insulin_Time...613",0,7
"bolus_insulin_dose_time...614",0,7
"basal_insulin_dose_time...615",0,7
"intermediate_insulin_dose_time...616",0,7
"day...617",0,7
"month...618",0,7
"Staples_g_8h...619",0,7
"Staples_g_24h...620",0,7
"Vegetables_g_8h...621",0,7
"Vegetables_g_24h...622",0,7
"Fruits_g_8h...623",0,7
"Fruits_g_24h...624",0,7
"Animal_Foods_g_8h...625",0,7
"Animal_Foods_g_24h...626",0,7
"Dairy_Products_g_8h...627",0,7
"Dairy_Products_g_24h...628",0,7
"Legumes_Nuts_g_8h...629",0,7
"Legumes_Nuts_g_24h...630",0,7
"Sweets_g_8h...631",0,7
"Sweets_g_24h...632",0,7
"Total_g_8h...633",0,7
"Total_g_24h...634",0,7
"Staples_bin_8h...635",0,7
"Staples_bin_24h...636",0,7
"Vegetables_bin_8h...637",0,7
"Vegetables_bin_24h...638",0,7
"Fruits_bin_8h...639",0,7
"Fruits_bin_24h...640",0,7
"Animal_Foods_bin_8h...641",0,7
"Animal_Foods_bin_24h...642",0,7
"Dairy_Products_bin_8h...643",0,7
"Dairy_Products_bin_24h...644",0,7
"Legumes_Nuts_bin_8h...645",0,7
"Legumes_Nuts_bin_24h...646",0,7
"Sweets_bin_8h...647",0,7
"Sweets_bin_24h...648",0,7
"Meal_bin_24h...649",0,7
"weekday_num...650",0,7
"PPG_spike_prev...651",0,7
"Staples_g_8h_missing...652",0,7
"Staples_g_24h_missing...653",0,7
"Vegetables_g_8h_missing...654",0,7
"Vegetables_g_24h_missing...655",0,7
"Fruits_g_24h_missing...656",0,7
"Animal_Foods_g_8h_missing...657",0,7
"Animal_Foods_g_24h_missing...658",0,7
"Dairy_Products_g_8h_missing...659",0,7
"Dairy_Products_g_24h_missing...660",0,7
"Legumes_Nuts_g_8h_missing...661",0,7
"Legumes_Nuts_g_24h_missing...662",0,7
"Sweets_g_8h_missing...663",0,7
"Sweets_g_24h_missing...664",0,7
"Total_g_8h_missing...665",0,7
"Total_g_24h_missing...666",0,7
"Staples_bin_24h_missing...667",0,7
"Vegetables_bin_24h_missing...668",0,7
"Fruits_bin_24h_missing...669",0,7
"Animal_Foods_bin_24h_missing...670",0,7
"Dairy_Products_bin_24h_missing...671",0,7
"Legumes_Nuts_bin_24h_missing...672",0,7
"Sweets_bin_24h_missing...673",0,7
"Meal_bin_24h_missing...674",0,7
"PPG_spike_prev_missing...675",0,7
"Animal_Foods_g...676",100,8
"Hour...677",18.2130727929149,8
"Animal_Foods_bin...678",10.3727300702616,8
"Meal_time...679",2.9319288050561,8
"Animal_Foods_g_24h...680",2.89796928848586,8
"Non.insulin.hypoglycemic.agents...681",0,8
"basal_insulin...682",0,8
"bolus_insulin...683",0,8
"Intermediate_insulin...684",0,8
"Staples_g...685",0,8
"Staples_bin...686",0,8
"Vegetables_g...687",0,8
"Vegetables_bin...688",0,8
"Fruits_g...689",0,8
"Fruits_bin...690",0,8
"Dairy_Products_g...691",0,8
"Dairy_Products_bin...692",0,8
"Legumes_Nuts_g...693",0,8
"Legumes_Nuts_bin...694",0,8
"Sweets_g...695",0,8
"Sweets_bin...696",0,8
"total_g...697",0,8
"Day...698",0,8
"basal_insulin_dose...699",0,8
"bolus_insulin_dose...700",0,8
"intermediate_insulin_dose...701",0,8
"Insulin_Basal_Time...702",0,8
"Intermediate_insulin_Time...703",0,8
"Bolus_insulin_Time...704",0,8
"Non_Insulin_Time...705",0,8
"bolus_insulin_dose_time...706",0,8
"basal_insulin_dose_time...707",0,8
"intermediate_insulin_dose_time...708",0,8
"day...709",0,8
"month...710",0,8
"Staples_g_8h...711",0,8
"Staples_g_24h...712",0,8
"Vegetables_g_8h...713",0,8
"Vegetables_g_24h...714",0,8
"Fruits_g_8h...715",0,8
"Fruits_g_24h...716",0,8
"Animal_Foods_g_8h...717",0,8
"Dairy_Products_g_8h...718",0,8
"Dairy_Products_g_24h...719",0,8
"Legumes_Nuts_g_8h...720",0,8
"Legumes_Nuts_g_24h...721",0,8
"Sweets_g_8h...722",0,8
"Sweets_g_24h...723",0,8
"Total_g_8h...724",0,8
"Total_g_24h...725",0,8
"Staples_bin_8h...726",0,8
"Staples_bin_24h...727",0,8
"Vegetables_bin_8h...728",0,8
"Vegetables_bin_24h...729",0,8
"Fruits_bin_8h...730",0,8
"Fruits_bin_24h...731",0,8
"Animal_Foods_bin_8h...732",0,8
"Animal_Foods_bin_24h...733",0,8
"Dairy_Products_bin_8h...734",0,8
"Dairy_Products_bin_24h...735",0,8
"Legumes_Nuts_bin_8h...736",0,8
"Legumes_Nuts_bin_24h...737",0,8
"Sweets_bin_8h...738",0,8
"Sweets_bin_24h...739",0,8
"Meal_bin_8h...740",0,8
"Meal_bin_24h...741",0,8
"weekday_num...742",0,8
"PPG_spike_prev...743",0,8
"Staples_g_8h_missing...744",0,8
"Staples_g_24h_missing...745",0,8
"Vegetables_g_8h_missing...746",0,8
