"","accuracy","recall","precision","f1_score","auc","ID"
"57",0.714285714285714,0,NA,NA,0.6,"2085_0_20200907"
"58",0.75,1,0.625,0.769230769230769,0.742857142857143,"2086_0_20200914"
"59",0.722222222222222,0.9,0.692307692307692,0.782608695652174,0.725,"2087_0_20201012"
"60",0.727272727272727,0.666666666666667,1,0.8,0.805555555555556,"2088_0_20201123"
"61",0.857142857142857,1,0.777777777777778,0.875,0.857142857142857,"2089_0_20201019"
"62",0.583333333333333,0,NA,NA,0.314285714285714,"2090_0_20201130"
"63",0.357142857142857,0.25,0.4,0.307692307692308,0.447916666666667,"2091_0_20201029"
"64",0.727272727272727,0.875,0.777777777777778,0.823529411764706,0.708333333333333,"2092_0_20201109"
"65",0.705882352941177,1,0.705882352941177,0.827586206896552,0.625,"2093_0_20201109"
"66",0.714285714285714,1,0.714285714285714,0.833333333333333,0.55,"2094_0_20211109"
"67",0.9,1,0.9,0.947368421052632,0.5,"2095_0_20201116"
"68",0.461538461538462,0,NA,NA,0.630952380952381,"2096_0_20201116"
"69",0.428571428571429,0.25,0.166666666666667,0.2,0.375,"2097_0_20201116"
"70",0.923076923076923,1,0.923076923076923,0.96,0.166666666666667,"2098_0_20201106"
"71",0.833333333333333,1,0.714285714285714,0.833333333333333,0.857142857142857,"2099_0_20201116"
